Автор,Статус заказа,Дата отзыва,Кол-во звезд,Текст отзыва,Артикул
Покупатель Wildberries,Выкупили,"28 мая, 10:38",star5,"Достоинства:Пришло в отличном состоянии, упаковка не поняла! Еще не пользовалась!",24716555.0
Карина,Выкупили,"28 мая, 08:23",star5,Достоинства:Отличная паста.,24716555.0
Людмила,Выкупили,"27 мая, 09:04",star5,"Достоинства:Паста нравится, пользуюсь полгода",24716555.0
Людмила,Выкупили,"26 мая, 10:33",star5,"Достоинства:Замечательная паста, мне нравится!!!",24716555.0
Галина,Отказались,"25 мая, 19:30",star5,Достоинства:Отличная паста. Нашла дешевле,24716555.0
Наталья,Выкупили,"25 мая, 07:46",star5,"Достоинства:Зубная паста хорошая, работает.Кровоточивость стала меньше.В какие то дни вообще нет. Заказала еще.Лучше всяких других зубных паст.Перепробовали разные.",24716555.0
Наталья,Выкупили,"25 мая, 06:22",star5,Достоинства:Заказываю не в первый раз. Паста Асепта рекомендована парадонтологом. Результат-здоровые десны. Отсутствие кровоточивости.,24716555.0
Наталья,Выкупили,"24 мая, 15:01",star5,"Достоинства:Отличная паста, берём не в первый раз!",24716555.0
Анатолий,Выкупили,"24 мая, 14:56",star5,Для меня одна из лучших паст за последний год))),24716555.0
Наталья,Выкупили,"24 мая, 14:00",star5,"Достоинства:Паста мягкая, без резкого мятного вкуса. Очень помогла.Недостатки:Минусы не нашлаКомментарий:В комплексном лечении и в сочетании со специальными щётками всё получилось. Дёсны перестали кровоточить.",24716555.0
Татьяна,Выкупили,"24 мая, 12:16",star5,"Достоинства:посоветовал стоматолог,мне понравилась паста для слабых десен!",24716555.0
Юлия,Выкупили,"23 мая, 15:01",star5,Достоинства:Паста отлично заживляет десны,24716555.0
Елена,Выкупили,"22 мая, 18:24",star5,"Достоинства:Упаковано в пупырку и заводскую упаковку. Все хорошо, спасибо",24716555.0
Покупатель Wildberries,Выкупили,"22 мая, 12:14",star5,Достоинства:Очень хорошая зубная паста!,24716555.0
Любовь,Выкупили,"22 мая, 10:31",star5,Достоинства:Пользуюсь постоянно. Эффективная паста. Рекомендую для пользования.,24716555.0
Покупатель Wildberries,Выкупили,"21 мая, 22:14",star5,"Достоинства:Реально помогает, очень приятная, не первый раз беру.",24716555.0
Ирина,Выкупили,"21 мая, 15:08",star5,Достоинства:Зубная паста очень нравится. Спасибо!,24716555.0
Галина,Выкупили,"20 мая, 04:24",star5,"Достоинства:Понравилась паста, десны стали лучше, снимает воспаление.",24716555.0
Юлия,Выкупили,"19 мая, 23:36",star5,"Достоинства:Очень приятные ощущения после чистки,лечебная!",24716555.0
Покупатель Wildberries,Выкупили,"19 мая, 17:51",star5,"Достоинства:Хорошая пастаКомментарий:Пользуюсь постоянно, помогает.",24716555.0
Галина Осипова,Выкупили,"19 мая, 10:55",star5,"Достоинства:Муж пользуется два года такой пастой, эффект хороший, десна не кровоточат. Спасибо всем.",24716555.0
Покупатель Wildberries,Выкупили,"18 мая, 18:31",star5,"Достоинства:Хорошая зубная паста, после первого применения десна ""успокоилась"",",24716555.0
Евгения,Выкупили,"17 мая, 10:01",star5,Достоинства:Хорошая паста,24716555.0
Диана,Выкупили,"17 мая, 07:52",star5,"Достоинства:беру уже не  в первый раз, все нравится",24716555.0
Оксана,Выкупили,"16 мая, 21:20",star5,"Достоинства:Паста замечательная, берём не первый раз, чистит очень хорошо👍 плюс ещё и стоматолог одобрил☝",24716555.0
Галина,Выкупили,"16 мая, 16:49",star5,"Достоинства:Постоянно пользуюсь этой пастой, очень нравится, довольна результатом.",24716555.0
Анна,Выкупили,"14 мая, 15:13",star5,Достоинства:Хорошая паста!Вкус приятный.,24716555.0
Ольга,Выкупили,"14 мая, 08:49",star5,Достоинства:Отличная зубная паста.,24716555.0
Марина,Выкупили,"13 мая, 17:07",star3,"Мне не подошла, плохо очищает зубы",24716555.0
Алексей,Выкупили,"13 мая, 14:48",star5,Достоинства:Беру постоянно. Вместо sensodyne.,24716555.0
Алла,Выкупили,"13 мая, 14:21",star5,"Достоинства:Приятная, хорошо очищает, кровоточивость меньше",24716555.0
Юлия,Выкупили,"13 мая, 00:08",star5,Достоинства:Очень помогла,24716555.0
Лидия,Выкупили,"12 мая, 21:25",star5,Классная зубная паста. Работает. Спасибо!🌹,24716555.0
Ирина,Выкупили,"12 мая, 08:01",star5,"Достоинства:Давно пользуюсь этой пастой, рекомендую 👍",24716555.0
Марианна,Выкупили,"10 мая, 15:40",star5,Достоинства:Хорошая паста! Рекомендую!,24716555.0
Надежда,Выкупили,"09 мая, 09:28",star5,Мне нравится паста.,24716555.0
Наталья,Выкупили,"08 мая, 22:52",star5,Достоинства:Все замечательно.,24716555.0
Светлана,Выкупили,"08 мая, 15:13",star5,"Достоинства:Приятная на вкус, очищает, в течении дня и на следующий день нет налета на зубах,  покраснения на дёснах исчезли, кровоточивости нет, если сравнивать с другими пастами, соответствует описанию! Взяла  ещё, но другую попробовать! Мне лично понравилась!",24716555.0
Людмила,Выкупили,"08 мая, 09:40",star5,Достоинства:Пользуюсь не первый раз по рекомендации стоматолога.Недостатки:-Комментарий:Проходит кровоточивость десен,24716555.0
Ольга,Выкупили,"07 мая, 10:41",star5,"Достоинства:Паста замечательная, соответствует заявленным параметрам, пользуюсь давно, мне подходит.",24716555.0
Эльвира,Выкупили,"05 мая, 18:32",star5,Самая любимая паста! Спасибо продавцу за качество и упаковку 🙏😎👍🏻,24716555.0
Вера,Выкупили,"05 мая, 10:30",star5,Достоинства:Супер,24716555.0
Валерий,Выкупили,"04 мая, 23:00",star4,"Хорошая, но дороговато",24716555.0
Наталия,Выкупили,"02 мая, 12:39",star5,"Достоинства:Всегда беру эту пасту , очень нравится.",24716555.0
Лариса,Выкупили,"30 апреля, 21:06",star5,Достоинства:Хороший продукт. Вообще все пасты прекрасны. Спасибо производителю и продавцу,24716555.0
Покупатель Wildberries,Выкупили,"30 апреля, 16:32",star5,"Достоинства:Эту пасту покупаю постоянно.
Мне нравится.
Прислали в срок, запакована отлично.
Рекомендую.",24716555.0
Екатерина,Выкупили,"30 апреля, 16:00",star5,"Достоинства:Упаковано было на совесть, просто супер. Паста отличная, давно ее покупаю",24716555.0
Покупатель Wildberries,Выкупили,"30 апреля, 09:54",star5,"Достоинства:Хорошая, стоматологи рекомендуют у кого десны часто воспаляются.",24716555.0
Ольга,Выкупили,"29 апреля, 20:17",star4,"Достоинства:Пастой пользуюсь не первый год. Но поменялась упаковка и всё в ней поменялось. Раньше у меня десна не кровоточили, а сейчас всё наоборот.",24716555.0
Покупатель Wildberries,Выкупили,"29 апреля, 11:08",star5,"Достоинства:Отличная пастаНедостатки:Минусов не обнаружилаКомментарий:Беру не первый раз, подходит всей семье.",24716555.0
Анастасия,Выкупили,"29 апреля, 09:28",star5,Достоинства:Уже 4 раз заказываю эту пасту.Недостатки:НетКомментарий:Мне нравится сама паста. Эффект.,24716555.0
Надежда,Выкупили,"28 апреля, 21:49",star5,Достоинства:Хорошая паста,24716555.0
Валентина,Выкупили,"28 апреля, 20:21",star5,Зубная паста моё спасение.очень десны болят а паста отличная,24716555.0
Галина,Выкупили,"28 апреля, 19:37",star5,"Достоинства:Беру не первый раз,хорошая памта",24716555.0
Татьяна,Выкупили,"28 апреля, 12:52",star5,"Достоинства:Хорошая паста кровоточить дёсны перестали, рекомендую",24716555.0
Светлана,Выкупили,"27 апреля, 19:02",star5,Достоинства:Отлично!,24716555.0
Леонид,Выкупили,"26 апреля, 17:25",star5,Достоинства:Хорошая профилактическая паста,24716555.0
Алла,Выкупили,"26 апреля, 13:46",star5,Достоинства:Хорошая паста. Рекомендую.,24716555.0
Татьяна,Выкупили,"26 апреля, 07:31",star5,Достоинства:Рабочая паста.,24716555.0
Виолетта,Выкупили,"26 апреля, 03:11",star5,Достоинства:хорошее качество,24716555.0
Екатерина,Выкупили,"25 апреля, 09:40",star5,Достоинства:Лучшая з.паста! Рекомендую!,24716555.0
Фания,Выкупили,"23 апреля, 16:53",star5,"Отличная паста,второй раз и беру.",24716555.0
Елена,Выкупили,"22 апреля, 18:15",star5,"Хорошая паста, приятно чистить .",24716555.0
Алексей,Выкупили,"21 апреля, 14:15",star5,"Достоинства:Все хорошо, пришло целое и в хорошей упаковке",24716555.0
Баджигиз,Выкупили,"17 апреля, 17:38",star5,Достоинства:👌👌👌,24716555.0
Покупатель Wildberries,Выкупили,"16 апреля, 19:22",star5,"Достоинства:Обычная, супер эффекта нет",24716555.0
Валентина,Выкупили,"11 апреля, 19:12",star4,Достоинства:Не понравилась.,24716555.0
Наталья,Выкупили,"06 апреля, 17:22",star5,Достоинства:Работает на 100%,24716555.0
Анна Азовская,Выкупили,"04 апреля, 19:57",star5,"Достоинства:Классная зубная паста, рекомендовал стоматолог.",24716555.0
Владислав,Отказались,"04 апреля, 14:30",star5,Достоинства:Снижение кровоточивостиНедостатки:Какда ем бананы то следы крови остаются на бананеКомментарий:Хотелось бы чтобы перестали совсем кровоточить,24716555.0
Сергей,Выкупили,"04 апреля, 08:12",star4,Достоинства:Всё время покупаю эту пасту,24716555.0
Покупатель Wildberries,Выкупили,"03 апреля, 11:25",star5,Отлично,24716555.0
Тамара,Выкупили,"02 апреля, 20:56",star5,"Достоинства:паста отличная, хорошо пенится, расход экономный, буквально через несколько применений кровоточивость дёсен значительно уменьшилась, очень довольна",24716555.0
Татьяна,Выкупили,"01 апреля, 16:29",star5,"Достоинства:Пользуемся давно, мне нравиться",24716555.0
Галина,Выкупили,"01 апреля, 06:35",star5,"Первый раз брала такую пасту, очень понравилась. Минимальный расход, отличная констстенция и не такая вонючая во рту, как все пасты для людей с пародонтозом. У этой приятный слегка мятный вкус.",24716555.0
Анастасия,Выкупили,"31 марта, 19:14",star5,Достоинства:За недели две справилась с воспалениемНедостатки:Не вполне хорошо убирает налёт с зубовКомментарий:Но в целом довольна!,24716555.0
Денис,Выкупили,"31 марта, 16:01",star5,Достоинства:Всегда лучше всех,24716555.0
Елена,Выкупили,"30 марта, 08:17",star5,"Достоинства:Волшебная! Действительно лечит. Сначала использовала только как зубную пасту. Сейчас ещё и как лекарство от стоматита, всяких язвочек, язык прижгла горячим чаем - капелюшечку пасты в рот, распределила языком на больное место - и вуаля! Утром ничего не болит. Заживляет лучше любого заживляющего  средства для рта. И вкус мягкий, приятный, можно надолго во рту оставлять. В общем, уже жизни не представляю без такого чуда! Буду постоянно брать, ничего другого не надо.",24716555.0
Эльвира,Выкупили,"29 марта, 21:44 • Дополнен",star5,Десна пересли кровитьПервоначальный отзыв,24716555.0
Покупатель Wildberries,Выкупили,"28 марта, 13:16",star4,"Реально помогает при кровоточивости, спасибо большое",24716555.0
Покупатель Wildberries,Выкупили,"28 марта, 07:05",star5,Отличная паста,24716555.0
Татьяна,Выкупили,"28 марта, 06:34",star5,Достоинства:Хорошая,24716555.0
Оксана,Выкупили,"27 марта, 09:45",star5,Достоинства:Паста просто отличная. Хорошо убирает налет на зубах. У сына постоянная проблема с кровоточивостью десен. Купила для него. Паста справляется на отлично. Проблема решена.,24716555.0
Анна,Выкупили,"26 марта, 06:00",star5,"Достоинства:Дёснам комфортнее с этой пастой,чем с другими.А если ополаскиватель ещё использовать ""Асепта актив"",то вообще отлично!Комментарий:Спасибо большое!",24716555.0
Таня,Выкупили,"25 марта, 11:42 • Дополнен",star5,"Спасибо, отличноПервоначальный отзыв",24716555.0
Надежда,Выкупили,"25 марта, 07:09",star5,"Покупали сыну, у него сильно кровоточили десна, после первого применения сын сразу увидел результат и был просто в восторге. Рекомендую.",24716555.0
Светлана,Выкупили,"25 марта, 06:43",star5,Достоинства:Беру не первый раз очень понравилась паста кровоточивости  из дёсен не стало,24716555.0
Светлана,Выкупили,"24 марта, 22:17",star5,Зубная паста очень нравится. Спасибо производителям. Упакована хорошо. Товар доставили быстро,24716555.0
Ирина,Выкупили,"24 марта, 12:20",star5,Достоинства:Отличная зубная паста!,24716555.0
Татьяна,Выкупили,"23 марта, 21:20",star5,Достоинства:Давно пользуюсь этой пастой,24716555.0
Наташа,Выкупили,"22 марта, 19:06",star5,"Достоинства:Хорошая паста,рабочая,десна меньше стали кровоточить",24716555.0
Диля,Выкупили,"22 марта, 16:07",star5,"Достоинства:Мне нравится паста, со своей задачей справляется, пенится хорошо и чистит зубы от камня и налета",24716555.0
Ирина,Выкупили,"22 марта, 12:21",star3,"Недостатки:Чищу две недели, эффекта не дождалась",24716555.0
Виктор,Выкупили,"22 марта, 07:15",star5,"Достоинства:Хорошо отрабатывает заявленные характеристики. Доставка, ппродавец честные👍",24716555.0
Шопоголиккккк,Выкупили,"22 марта, 02:48",star5,"Достоинства:Наконецто ощущение чистоты во рту!!! Благодарю, паста супер. Кравоточят намного много реже ! )))",24716555.0
Ирина,Выкупили,"21 марта, 15:59",star5,Достоинства:Хорошая паста врачи советуют парадонтологиНедостатки:Все идеальноКомментарий:Запах и вкус хороший советую всем,24716555.0
Раиса,Выкупили,"19 марта, 11:52",star5,Достоинства:Отличная зубная паста для проблемных десен.,24716555.0
Елена,Выкупили,"18 марта, 07:19",star3,Не помогла совсем,24716555.0
Тамара,Выкупили,"17 марта, 13:35",star5,"Зубы чищу, в меру пенится.... ну самая обыкновенная паста, вау здесь неуместно",24716555.0
Кристина,Выкупили,"17 марта, 13:34",star5,"Достоинства:Отличная пастаНедостатки:НетКомментарий:Пасту беру постоянно, отлично работает в комплексе с ополаскивалетем для рта и спец.гелем для десен. То ято нужно.",24716555.0
Покупатель Wildberries,Выкупили,"16 марта, 19:49",star1,Достоинства:Не увидела эффекта снижения кровоточивости зубов. Такое ощущение что даже наоборот.,24716555.0
Покупатель Wildberries,Выкупили,"16 марта, 15:30",star5,"Достоинства:ОтличноНедостатки:НетКомментарий:Экономично, хорошо очищает",24716555.0
Нелли,Выкупили,"16 марта, 02:16",star5,Достоинства:Отличная паста!Недостатки:Нет,24716555.0
Юлия,Выкупили,"15 марта, 17:38",star5,"Достоинства:Хорошая, предотвращает кровоточивость, приятная 👍 Советую к покупке",24716555.0
Лариса,Выкупили,"14 марта, 17:34",star5,"Достоинства:Всё хорошо. Упаковка немного помялась, но не критично.Комментарий:Паста мне очень нравится. Обезболивает. Заказываю не первый раз",24716555.0
Надежда,Выкупили,"13 марта, 21:14",star5,"Достоинства:Приятная паста, помогает, но сразу, нужно время и терпение.",24716555.0
Ольга,Выкупили,"13 марта, 12:07",star5,"Не пробовала,надеюсь на лучшее,упаковано хорошо,спасибо",24716555.0
Екатерина,Выкупили,"12 марта, 09:12 • Дополнен",star2,"Заказали пасту, пришла в белой упаковке. Она очень понравилась нам, состав отличный, нет вкуса мята, со своей задачей справляется. Заказали во второй раз, пришла в серебристой упаковке. Ужасная паста, дикий вкус мяты, который сушит кожу вокруг рта. Разъедает всё, просто противно. Что теперь делать, не понятно. Придётся искать опять новую, а только обрадовались, что нашли хорошуюПервоначальный отзыв",24716555.0
Елена,Выкупили,"11 марта, 08:34",star5,"Достоинства:Доставка быстрая, но пока не пользовалась",24716555.0
Геннадий,Выкупили,"10 марта, 09:54",star5,Всё хорошо 👍. Нравится.,24716555.0
Покупатель Wildberries,Выкупили,"09 марта, 21:04",star5,Достоинства:👍,24716555.0
Покупатель Wildberries,Выкупили,"09 марта, 17:36",star5,Хорошая паста для проблемных десен.,24716555.0
Нина,Выкупили,"09 марта, 12:06",star5,Достоинства:Супер! Так упаковано! Как хрустальная ваза! Спасибо!,24716555.0
Екатерина,Выкупили,"07 марта, 20:04",star5,"Достоинства:Хорошая паста. Десна вообще не болят после неё, до этого ни есть не могла ни пить.",24716555.0
Галина,Выкупили,"07 марта, 17:31",star5,Достоинства:Хорошая паста,24716555.0
Татьяна,Выкупили,"07 марта, 17:11",star5,Реально действует,24716555.0
Ольга,Выкупили,"07 марта, 07:07",star5,За две недели применения десны перестали кровоточить,24716555.0
Галина,Выкупили,"06 марта, 05:48",star5,Достоинства:Доставка быстрая. Качество хорошее. Работает.,24716555.0
Елена,Выкупили,"05 марта, 22:21",star5,Достоинства:Отличная зубная паста,24716555.0
Нина,Выкупили,"05 марта, 13:25",star5,"Достоинства:Паста выполняет свои заявленные функции. Приятный вкус, хорошо очищает. Рекомендую.",24716555.0
Елена,Выкупили,"04 марта, 10:13",star5,Пока эффекта не увидела,24716555.0
Ирина,Выкупили,"03 марта, 16:53",star5,"Достоинства:Пользуюсь постоянно по совету доктора, вижу и чувствую пользу",24716555.0
Вероника,Выкупили,"02 марта, 17:00",star3,"Недостатки:В аптеке качество совсем другое, не понравилась",24716555.0
Покупатель Wildberries,Выкупили,"02 марта, 13:33",star5,"Достоинства:Состав , качество, эффективность.Недостатки:Все хорошо.Комментарий:Покупаю пасту второй раз, все устраивает.",24716555.0
Татьяна,Выкупили,"01 марта, 09:43",star5,"Достоинства:Всё соответствует , хорошо упаковано .",24716555.0
Новикова Юлия,Выкупили,"28 февраля, 13:04",star5,Достоинства:Нам нравится паста. Заказываем разные.,24716555.0
Светлана,Выкупили,"28 февраля, 12:45",star5,"Достоинства:Паста супер ,очень помогает при кровотёчности дёсен",24716555.0
Елена,Выкупили,"28 февраля, 11:41",star5,Достоинства:Понравилась.,24716555.0
Ольга,Выкупили,"27 февраля, 15:01",star5,"Достоинства:Паста очень замечательная!) кровились десна, на 4й день использования проблема ушла) Большое спасибо🙏💕 Берите, паста свою задачу выполняет!",24716555.0
Инна,Выкупили,"27 февраля, 12:33",star5,Хорошая берите,24716555.0
Покупатель,Выкупили,"26 февраля, 12:36",star5,Достоинства:Понравилась,24716555.0
Татьяна,Выкупили,"26 февраля, 11:27",star5,Достоинства:Характеристику дать нк могу только начала пользоваться,24716555.0
Татьяна,Выкупили,"26 февраля, 11:22",star5,Супер. Спасибо 👍,24716555.0
Оксана,Выкупили,"25 февраля, 14:00",star2,"Недостатки:Нельзя такой чистить, чёрный прямоугольник на ней, чувствительность прибавилосьВпечатления покупателя про:состав",24716555.0
Покупатель Wildberries,Выкупили,"25 февраля, 12:32",star5,Спасибо за быструю доставку.,24716555.0
Галина,Выкупили,"25 февраля, 08:34",star5,Достоинства:Хороший товар,24716555.0
Екатерина,Выкупили,"23 февраля, 22:19",star5,"Достоинства:У мужа очень чувствительные зубы и десна , за пару применений увидели результак",24716555.0
Юлия,Выкупили,"23 февраля, 19:15",star5,"Достоинства:То что нужно от слабых десен. На вкус приятная, чистит хорошо. 
В аптеках много дороже.",24716555.0
Эльвира,Выкупили,"23 февраля, 14:13",star3,Достоинства:Не заметила улучшения,24716555.0
Наталия,Выкупили,"23 февраля, 13:53",star5,"Достоинства:беру не первый раз, хорошая паста",24716555.0
Елена,Выкупили,"23 февраля, 08:23",star5,"Достоинства:Пастой пользуюсь пару месяцев ,пропала чувствительность зубов ,нравиться",24716555.0
Елена,Выкупили,"22 февраля, 19:39",star5,"Очень хорошая паста, реально уменьшает кровоточивость дёсен. Беру не в первый раз.",24716555.0
Мацейко,Выкупили,"22 февраля, 17:16",star5,,24716555.0
Полина,Выкупили,"22 февраля, 11:28",star1,Недостатки:Это нормально что она вся в каких то царапинах. Покупалась ы подарок.Впечатления покупателя про:другое,24716555.0
Покупатель Wildberries,Выкупили,"21 февраля, 15:53",star5,Достоинства:Все хорошо упаковано,24716555.0
Владимир,Выкупили,"20 февраля, 17:18",star5,Достоинства:Приятный запах и привкус.,24716555.0
Елена,Выкупили,"20 февраля, 08:48",star4,Достоинства:Рекомендую...,24716555.0
Покупатель Wildberries,Выкупили,"19 февраля, 14:41",star5,👍,24716555.0
Виктория,Выкупили,"Вчера, 11:15",star5,Достоинства:Хороший ополаскиватель снимает воспаление,24716557.0
Покупатель Wildberries,Выкупили,"07 июля, 18:22",star5,Достоинства:Ополаскиватель прекрасно работает,24716557.0
Юлия,Выкупили,"07 июля, 10:31",star5,"Достоинства:Оригинал. Давно пользуюсь, очень люблю этот ополаскиватель.  Для чувствительных Зубов самый лучший. После лечения, чистки или других процедур стоматолога самое то, тк немного обезболивает даже.",24716557.0
Марина,Выкупили,"06 июля, 16:03",star5,Достоинства:Все отлично! Упакован хорошо.,24716557.0
Покупатель Wildberries,Выкупили,"06 июля, 15:59",star5,,24716557.0
Покупатель Wildberries,Выкупили,"06 июля, 15:58",star5,Всё хорошо. Рекомендую,24716557.0
Елена,Выкупили,"04 июля, 19:31",star5,Достоинства:Мне подошло и понравилось. Беру не первый раз,24716557.0
Наталья,Выкупили,"03 июля, 15:55",star5,Достоинства:Все отлично,24716557.0
Юлия,Выкупили,"03 июля, 12:40",star5,Достоинства:Купила по рекомендации стоматолога. Результат действительно есть - десны стали лучше. Буду брать ещё.,24716557.0
Наталья,Выкупили,"29 июня, 15:34",star4,"Достоинства:Снимаю звезду за доставкуНедостатки:Все мятое, ужасное...",24716557.0
Ольга,Выкупили,"29 июня, 09:03",star5,Достоинства:Все отлично.Комментарий:Очень понравился. Буду заказывать ещё. Всем рекомендую,24716557.0
Оксана,Выкупили,"29 июня, 03:33",star5,"Достоинства:Обезбаливает Десна, причтная свежесть на целый день",24716557.0
Екатерина,Отказались,"27 июня, 20:51",star4,"Недостатки:Не могу оценить, так как пришло не то что заказывала. Вместо ополаскивателя пришёл крем чистая линия 🤪Комментарий:Не буду ставить низкую оценку из за подмены. Заказала такой ополаскиватель на аптека ру👌🏻",24716557.0
Покупатель Wildberries,Выкупили,"26 июня, 05:16",star5,"Достоинства:Хорошая упаковка, беру второй раз. Помогает при парадонтите. Спасибо.",24716557.0
Покупатель Wildberries,Выкупили,"25 июня, 18:59",star5,Мне очень нравится этот ополаскиватель.,24716557.0
Татьяна,Выкупили,"25 июня, 15:43",star5,"Достоинства:Пользуюсь по рекомендации хирурга имплантолога. После использования  геля Дентамет, врач рекомендовал использовать пасту -бальзам для лечения десен после имплантации и пластики десны. И одновременно использовать ополаскиватель. Хорошо регенирирует слизистую полости рта. Я заказала сейчас уже во второй раз этот ополаскиватель, так, как ещё будет пластика десны. После Мирамистина, обязательно применять этот Асепта. Результат хороший, так, как это лечебная линия. После применения этого ополаскивателя, закажу ополаскиватель линии Асепта для ежедневного применения. Заметила, что после применения его, десна стала гораздо лучше, и  чувствительность десен при наличии карманов ( открытые шейки зуба) заметно стала меньше. Но долго его применять нельзя. Так, как он направлен на восстановление десен после операции.Впечатления покупателя про:легко использоватьхорошая цена",24716557.0
Алла,Выкупили,"25 июня, 07:17",star5,Достоинства:Перед походом в стоматологу на чистку от камня хорошо снимает чувствительность!,24716557.0
Светлана,Выкупили,"25 июня, 06:56",star5,Достоинства:Анастезирующий эффектКомментарий:Покупала по рекомендации стоматолога после чистки зубов. Очень помогло,24716557.0
Джаврят,Выкупили,"24 июня, 18:30",star5,Достоинства:Очень хороший ополаскиватель практически сращу помог,24716557.0
Шамиль,Выкупили,"24 июня, 06:32",star5,Асепта всегда на высоте. Рекомендую,24716557.0
Степан,Выкупили,"22 июня, 15:40",star5,"Достоинства:Оригинал, рекомендую",24716557.0
Евгения,Выкупили,"22 июня, 10:16",star4,"От Асепты ждали большего эффекта. К сожалению, расход большой, должного эффекта муж не почувствовал(( другой марки подходит больше.",24716557.0
Елена,Выкупили,"22 июня, 01:22",star5,Достоинства:Хорошо снимает боль !!!,24716557.0
Юлия,Выкупили,"21 июня, 17:04",star4,"Недостатки:Не вкусный, язык онемел",24716557.0
